mh mH cba tb Z4 Z5 Z7 chisq tot_hbobs stb uni per mA Gamma_h Gamma_A S T U V W X  chisqdiff
125.000000 300.000000 0.208000 8.530000 -1.000000 1.000000 0.000000 83.786278 9.585188e-01 1 1 1 161.733334 3.266667e-03 2.640271e-01 -9.942327e-03 1.538975e-03 1.078172e-04 -4.417750e-04 -4.050049e-04 -6.851474e-05 7.99715
125.000000 300.000000 0.208000 8.900000 -1.000000 1.000000 0.000000 80.393970 9.437788e-01 1 1 1 161.733334 3.641803e-03 2.874302e-01 -9.942327e-03 1.538975e-03 1.078172e-04 -4.417750e-04 -4.050049e-04 -6.851474e-05 4.60485
125.000000 300.000000 0.234000 6.310000 -1.000000 1.000000 0.000000 110.348339 9.181113e-01 1 1 1 159.069022 2.149826e-03 1.425041e-01 -9.500674e-03 1.992556e-03 1.500330e-04 -3.872353e-04 -3.703015e-04 -6.920103e-05 34.5592
125.000000 300.000000 0.234000 7.420000 -1.000000 1.000000 0.000000 85.310115 9.891154e-01 1 1 1 159.069022 3.110250e-03 1.970435e-01 -9.500674e-03 1.992556e-03 1.500330e-04 -3.872353e-04 -3.703015e-04 -6.920103e-05 9.52099
125.000000 300.000000 0.234000 7.790000 -1.000000 1.000000 0.000000 80.955632 8.892899e-01 1 1 1 159.069022 3.518169e-03 2.171847e-01 -9.500674e-03 1.992556e-03 1.500330e-04 -3.872353e-04 -3.703015e-04 -6.920103e-05 5.16651
125.000000 300.000000 0.234000 8.160000 -1.000000 1.000000 0.000000 78.709596 9.311401e-01 1 1 1 159.069022 3.969937e-03 2.383063e-01 -9.500674e-03 1.992556e-03 1.500330e-04 -3.872353e-04 -3.703015e-04 -6.920103e-05 2.92047
125.000000 300.000000 0.234000 8.530000 -1.000000 1.000000 0.000000 78.396435 7.839234e-01 1 1 1 159.069022 4.465538e-03 2.604083e-01 -9.500674e-03 1.992556e-03 1.500330e-04 -3.872353e-04 -3.703015e-04 -6.920103e-05 2.60731
125.000000 300.000000 0.234000 8.900000 -1.000000 1.000000 0.000000 79.786123 8.623158e-01 1 1 1 159.069022 5.004958e-03 2.834907e-01 -9.500674e-03 1.992556e-03 1.500330e-04 -3.872353e-04 -3.703015e-04 -6.920103e-05 3.997
125.000000 300.000000 0.234000 9.270000 -1.000000 1.000000 0.000000 82.643902 9.459584e-01 1 1 1 159.069022 5.588185e-03 3.075533e-01 -9.500674e-03 1.992556e-03 1.500330e-04 -3.872353e-04 -3.703015e-04 -6.920103e-05 6.85478
125.000000 300.000000 0.260000 6.680000 -1.000000 1.000000 0.000000 84.461336 9.716832e-01 1 1 1 156.037436 3.130708e-03 1.571712e-01 -9.016751e-03 2.523484e-03 2.007300e-04 -3.273428e-04 -3.318551e-04 -6.998451e-05 8.67221
125.000000 300.000000 0.260000 7.050000 -1.000000 1.000000 0.000000 80.129677 8.626367e-01 1 1 1 156.037436 3.590293e-03 1.750630e-01 -9.016751e-03 2.523484e-03 2.007300e-04 -3.273428e-04 -3.318551e-04 -6.998451e-05 4.34055
125.000000 300.000000 0.260000 7.420000 -1.000000 1.000000 0.000000 78.377825 9.376149e-01 1 1 1 156.037436 4.104049e-03 1.939200e-01 -9.016751e-03 2.523484e-03 2.007300e-04 -3.273428e-04 -3.318551e-04 -6.998451e-05 2.5887
125.000000 300.000000 0.260000 7.790000 -1.000000 1.000000 0.000000 78.923196 7.613383e-01 1 1 1 156.037436 4.671947e-03 2.137419e-01 -9.016751e-03 2.523484e-03 2.007300e-04 -3.273428e-04 -3.318551e-04 -6.998451e-05 3.13407
125.000000 300.000000 0.260000 8.160000 -1.000000 1.000000 0.000000 81.495122 8.359184e-01 1 1 1 156.037436 5.293965e-03 2.345288e-01 -9.016751e-03 2.523484e-03 2.007300e-04 -3.273428e-04 -3.318551e-04 -6.998451e-05 5.706
125.000000 300.000000 0.260000 8.530000 -1.000000 1.000000 0.000000 85.431832 9.112347e-01 1 1 1 156.037436 5.970083e-03 2.562806e-01 -9.016751e-03 2.523484e-03 2.007300e-04 -3.273428e-04 -3.318551e-04 -6.998451e-05 9.64271
125.000000 300.000000 0.260000 8.900000 -1.000000 1.000000 0.000000 90.408707 9.869880e-01 1 1 1 156.037436 6.700287e-03 2.789971e-01 -9.016751e-03 2.523484e-03 2.007300e-04 -3.273428e-04 -3.318551e-04 -6.998451e-05 14.6196
125.000000 300.000000 0.286000 5.940000 -1.000000 1.000000 0.000000 85.850425 9.997563e-01 1 1 1 152.616689 2.983354e-03 1.220176e-01 -8.494503e-03 3.141136e-03 2.613900e-04 -2.625597e-04 -2.898037e-04 -7.087137e-05 10.0613
125.000000 300.000000 0.286000 6.310000 -1.000000 1.000000 0.000000 80.511803 8.754517e-01 1 1 1 152.616689 3.472433e-03 1.376881e-01 -8.494503e-03 3.141136e-03 2.613900e-04 -2.625597e-04 -2.898037e-04 -7.087137e-05 4.72268
125.000000 300.000000 0.286000 6.680000 -1.000000 1.000000 0.000000 78.350938 9.329558e-01 1 1 1 152.616689 4.027124e-03 1.543063e-01 -8.494503e-03 3.141136e-03 2.613900e-04 -2.625597e-04 -2.898037e-04 -7.087137e-05 2.56181
125.000000 300.000000 0.286000 7.050000 -1.000000 1.000000 0.000000 79.022099 5.953488e-01 1 1 1 152.616689 4.647378e-03 1.718722e-01 -8.494503e-03 3.141136e-03 2.613900e-04 -2.625597e-04 -2.898037e-04 -7.087137e-05 3.23297
125.000000 300.000000 0.286000 7.420000 -1.000000 1.000000 0.000000 82.088845 6.759076e-01 1 1 1 152.616689 5.333156e-03 1.903856e-01 -8.494503e-03 3.141136e-03 2.613900e-04 -2.625597e-04 -2.898037e-04 -7.087137e-05 6.29972
125.000000 300.000000 0.286000 7.790000 -1.000000 1.000000 0.000000 86.763206 7.536339e-01 1 1 1 152.616689 6.084428e-03 2.098464e-01 -8.494503e-03 3.141136e-03 2.613900e-04 -2.625597e-04 -2.898037e-04 -7.087137e-05 10.9741
125.000000 300.000000 0.286000 8.160000 -1.000000 1.000000 0.000000 92.633797 8.249748e-01 1 1 1 152.616689 6.901169e-03 2.302545e-01 -8.494503e-03 3.141136e-03 2.613900e-04 -2.625597e-04 -2.898037e-04 -7.087137e-05 16.8447
125.000000 300.000000 0.286000 8.530000 -1.000000 1.000000 0.000000 99.218113 8.972618e-01 1 1 1 152.616689 7.783358e-03 2.516099e-01 -8.494503e-03 3.141136e-03 2.613900e-04 -2.625597e-04 -2.898037e-04 -7.087137e-05 23.429
125.000000 300.000000 0.286000 8.900000 -1.000000 1.000000 0.000000 106.075081 9.717675e-01 1 1 1 152.616689 8.730978e-03 2.739125e-01 -8.494503e-03 3.141136e-03 2.613900e-04 -2.625597e-04 -2.898037e-04 -7.087137e-05 30.286
125.000000 300.000000 0.312000 5.570000 -1.000000 1.000000 0.000000 92.163046 9.313334e-01 1 1 1 148.779943 3.179111e-03 1.050529e-01 -7.938756e-03 3.856778e-03 3.338611e-04 -1.934715e-04 -2.443158e-04 -7.186885e-05 16.3739
125.000000 300.000000 0.312000 5.940000 -1.000000 1.000000 0.000000 96.925337 8.056051e-01 1 1 1 148.779943 3.747235e-03 1.194681e-01 -7.938756e-03 3.856778e-03 3.338611e-04 -1.934715e-04 -2.443158e-04 -7.186885e-05 21.1362
125.000000 300.000000 0.312000 6.310000 -1.000000 1.000000 0.000000 106.857545 4.838065e-01 1 1 1 148.779943 4.393479e-03 1.348114e-01 -7.938756e-03 3.856778e-03 3.338611e-04 -1.934715e-04 -2.443158e-04 -7.186885e-05 31.0684
125.000000 300.000000 0.312000 6.680000 -1.000000 1.000000 0.000000 120.438306 5.185803e-01 1 1 1 148.779943 5.117775e-03 1.510827e-01 -7.938756e-03 3.856778e-03 3.338611e-04 -1.934715e-04 -2.443158e-04 -7.186885e-05 44.6492
125.000000 300.000000 0.312000 7.050000 -1.000000 1.000000 0.000000 135.916222 5.769014e-01 1 1 1 148.779943 5.920072e-03 1.682819e-01 -7.938756e-03 3.856778e-03 3.338611e-04 -1.934715e-04 -2.443158e-04 -7.186885e-05 60.1271
125.000000 300.000000 0.312000 7.420000 -1.000000 1.000000 0.000000 151.740270 6.410016e-01 1 1 1 148.779943 6.800326e-03 1.864087e-01 -7.938756e-03 3.856778e-03 3.338611e-04 -1.934715e-04 -2.443158e-04 -7.186885e-05 75.9511
125.000000 300.000000 0.312000 7.790000 -1.000000 1.000000 0.000000 167.012519 7.135889e-01 1 1 1 148.779943 7.758505e-03 2.054630e-01 -7.938756e-03 3.856778e-03 3.338611e-04 -1.934715e-04 -2.443158e-04 -7.186885e-05 91.2234
125.000000 300.000000 0.312000 8.160000 -1.000000 1.000000 0.000000 181.039834 7.953398e-01 1 1 1 148.779943 8.794581e-03 2.254449e-01 -7.938756e-03 3.856778e-03 3.338611e-04 -1.934715e-04 -2.443158e-04 -7.186885e-05 105.251
125.000000 300.000000 0.312000 8.530000 -1.000000 1.000000 0.000000 193.593930 8.885033e-01 1 1 1 148.779943 9.908532e-03 2.463543e-01 -7.938756e-03 3.856778e-03 3.338611e-04 -1.934715e-04 -2.443158e-04 -7.186885e-05 117.805
125.000000 300.000000 0.312000 8.900000 -1.000000 1.000000 0.000000 204.621938 9.717675e-01 1 1 1 148.779943 1.110034e-02 2.681911e-01 -7.938756e-03 3.856778e-03 3.338611e-04 -1.934715e-04 -2.443158e-04 -7.186885e-05 128.833
125.000000 300.000000 0.338000 5.200000 -1.000000 1.000000 0.000000 84.719690 8.862698e-01 1 1 1 144.494062 3.297629e-03 8.937462e-02 -7.355452e-03 4.683993e-03 4.204647e-04 -1.208275e-04 -1.955988e-04 -7.298540e-05 8.93057
125.000000 300.000000 0.338000 5.570000 -1.000000 1.000000 0.000000 88.749222 9.268217e-01 1 1 1 144.494062 3.937013e-03 1.025390e-01 -7.355452e-03 4.683993e-03 4.204647e-04 -1.208275e-04 -1.955988e-04 -7.298540e-05 12.9601
125.000000 300.000000 0.338000 5.940000 -1.000000 1.000000 0.000000 98.293967 4.915895e-01 1 1 1 144.494062 4.668135e-03 1.166096e-01 -7.355452e-03 4.683993e-03 4.204647e-04 -1.208275e-04 -1.955988e-04 -7.298540e-05 22.5048
125.000000 300.000000 0.338000 6.310000 -1.000000 1.000000 0.000000 111.465745 5.254892e-01 1 1 1 144.494062 5.490902e-03 1.315862e-01 -7.355452e-03 4.683993e-03 4.204647e-04 -1.208275e-04 -1.955988e-04 -7.298540e-05 35.6766
125.000000 300.000000 0.338000 6.680000 -1.000000 1.000000 0.000000 126.525122 5.532870e-01 1 1 1 144.494062 6.405243e-03 1.474685e-01 -7.355452e-03 4.683993e-03 4.204647e-04 -1.208275e-04 -1.955988e-04 -7.298540e-05 50.736
125.000000 300.000000 0.338000 7.050000 -1.000000 1.000000 0.000000 142.218183 5.931933e-01 1 1 1 144.494062 7.411100e-03 1.642563e-01 -7.355452e-03 4.683993e-03 4.204647e-04 -1.208275e-04 -1.955988e-04 -7.298540e-05 66.4291
125.000000 300.000000 0.338000 7.420000 -1.000000 1.000000 0.000000 157.328290 6.501587e-01 1 1 1 144.494062 8.508427e-03 1.819496e-01 -7.355452e-03 4.683993e-03 4.204647e-04 -1.208275e-04 -1.955988e-04 -7.298540e-05 81.5392
