mh mH cba tb Z4 Z5 Z7 chisq tot_hbobs stb uni per mA Gamma_h Gamma_A S T U V W X  chisqdiff
125.000000 400.000000 0.468000 3.720000 -1.000000 1.000000 0.000000 79.938205 8.954046e-01 1 1 1 260.295681 3.399458e-03 2.884864e-01 8.297050e-03 3.989423e-03 1.214192e-04 1.057685e-03 5.452043e-04 -4.621135e-05 4.16434
125.000000 400.000000 0.494000 3.350000 -1.000000 1.000000 0.000000 81.461922 8.854115e-01 1 1 1 253.264158 3.037195e-03 2.386982e-01 9.783881e-03 4.920581e-03 1.788635e-04 1.204209e-03 6.337246e-04 -4.755526e-05 5.68805
125.000000 400.000000 0.520000 2.980000 -1.000000 1.000000 0.000000 85.036009 9.425586e-01 1 1 1 245.634752 2.632835e-03 1.830749e-01 1.131564e-02 6.034123e-03 2.525576e-04 1.355765e-03 7.258880e-04 -4.905911e-05 9.26214
125.000000 400.000000 0.520000 3.350000 -1.000000 1.000000 0.000000 81.051272 3.698293e-01 1 1 1 245.634752 3.506002e-03 1.948910e-01 1.131564e-02 6.034123e-03 2.525576e-04 1.355765e-03 7.258880e-04 -4.905911e-05 5.2774
125.000000 400.000000 0.546000 2.980000 -1.000000 1.000000 0.000000 82.043448 3.250414e-01 1 1 1 237.349813 3.006746e-03 1.341592e-01 1.288192e-02 7.363005e-03 3.466364e-04 1.511393e-03 8.213607e-04 -5.074616e-05 6.26958
125.000000 400.000000 0.572000 2.610000 -1.000000 1.000000 0.000000 86.148235 8.435034e-01 1 1 1 228.337998 2.497401e-03 7.490180e-02 1.446946e-02 8.947335e-03 4.664814e-04 1.669810e-03 9.197187e-04 -5.264483e-05 10.3744
125.000000 400.000000 0.572000 2.980000 -1.000000 1.000000 0.000000 83.103796 3.455838e-01 1 1 1 228.337998 3.435589e-03 8.467440e-02 1.446946e-02 8.947335e-03 4.664814e-04 1.669810e-03 9.197187e-04 -5.264483e-05 7.32993
125.000000 400.000000 0.598000 2.610000 -1.000000 1.000000 0.000000 83.797442 2.926655e-01 1 1 1 218.509391 2.822674e-03 3.641821e-02 1.606107e-02 1.083681e-02 6.192408e-04 1.829272e-03 1.020415e-03 -5.479016e-05 8.02357
125.000000 400.000000 0.598000 2.980000 -1.000000 1.000000 0.000000 88.221165 3.584057e-01 1 1 1 218.509391 3.921657e-03 4.586151e-02 1.606107e-02 1.083681e-02 6.192408e-04 1.829272e-03 1.020415e-03 -5.479016e-05 12.4473
125.000000 400.000000 0.624000 2.240000 -1.000000 1.000000 0.000000 89.580026 7.678740e-01 1 1 1 207.748096 2.245264e-03 2.394711e-02 1.763389e-02 1.309442e-02 8.146447e-04 1.987336e-03 1.122731e-03 -5.722582e-05 13.8062
125.000000 400.000000 0.624000 2.610000 -1.000000 1.000000 0.000000 85.490509 3.457328e-01 1 1 1 207.748096 3.195661e-03 3.172834e-02 1.763389e-02 1.309442e-02 8.146447e-04 1.987336e-03 1.122731e-03 -5.722582e-05 9.71664
125.000000 400.000000 0.650000 2.240000 -1.000000 1.000000 0.000000 86.821698 6.210670e-01 1 1 1 195.900469 2.510002e-03 2.223237e-02 1.915680e-02 1.580230e-02 1.066342e-03 2.140462e-03 1.225693e-03 -6.000690e-05 11.0478
125.000000 400.000000 0.650000 2.610000 -1.000000 1.000000 0.000000 91.296447 4.100340e-01 1 1 1 195.900469 3.618886e-03 2.967255e-02 1.915680e-02 1.580230e-02 1.066342e-03 2.140462e-03 1.225693e-03 -6.000690e-05 15.5226
