mh mH cba tb Z4 Z5 Z7 chisq tot_hbobs stb uni per mA Gamma_h Gamma_A mHc l6 l7 m12_2 S T U V W X 
125.000000 350.000000 -0.650000 8.530000 -1.000000 1.000000 0.000000 218.447324 9.340935e-01 0 1 0 129.308715 1.166066e-01 2.193824e-01 2.781103e+02 -6.938894e-17 5.551115e-16 8.218828e+03 1.080784e-02 2.305619e-02 2.249146e-03 1.585950e-03 9.703522e-04 -7.693941e-05
125.000000 350.000000 -0.650000 8.900000 -1.000000 1.000000 0.000000 221.923924 1.013861e+00 0 1 0 129.308715 1.256171e-01 2.388284e-01 2.781103e+02 -1.387779e-16 3.330669e-16 7.915554e+03 1.080784e-02 2.305619e-02 2.249146e-03 1.585950e-03 9.703522e-04 -7.693941e-05
125.000000 350.000000 -0.650000 9.270000 -1.000000 1.000000 0.000000 225.417905 1.098712e+00 0 1 0 129.308715 1.349648e-01 2.591001e-01 2.781103e+02 2.775558e-17 6.661338e-16 7.633218e+03 1.080784e-02 2.305619e-02 2.249146e-03 1.585950e-03 9.703522e-04 -7.693941e-05
125.000000 350.000000 -0.650000 9.640000 -1.000000 1.000000 0.000000 228.844934 1.185185e+00 0 1 0 129.308715 1.446497e-01 2.801976e-01 2.781103e+02 -3.469447e-18 5.551115e-16 7.369805e+03 1.080784e-02 2.305619e-02 2.249146e-03 1.585950e-03 9.703522e-04 -7.693941e-05
125.000000 350.000000 -0.650000 10.010000 -1.000000 1.000000 0.000000 231.747226 1.275218e+00 0 1 0 129.308715 1.546719e-01 3.021209e-01 2.781103e+02 -1.561251e-16 0.000000e+00 7.123538e+03 1.080784e-02 2.305619e-02 2.249146e-03 1.585950e-03 9.703522e-04 -7.693941e-05
125.000000 350.000000 -0.650000 10.380000 -1.000000 1.000000 0.000000 234.940398 1.368984e+00 0 1 0 129.308715 1.650313e-01 3.248698e-01 2.781103e+02 -2.081668e-17 4.440892e-16 6.892843e+03 1.080784e-02 2.305619e-02 2.249146e-03 1.585950e-03 9.703522e-04 -7.693941e-05
125.000000 350.000000 -0.650000 10.750000 -1.000000 1.000000 0.000000 237.983163 1.467049e+00 0 1 0 129.308715 1.757280e-01 3.484445e-01 2.781103e+02 7.632783e-17 -7.771561e-16 6.676329e+03 1.080784e-02 2.305619e-02 2.249146e-03 1.585950e-03 9.703522e-04 -7.693941e-05
125.000000 350.000000 -0.650000 11.120000 -1.000000 1.000000 0.000000 240.863644 1.565749e+00 0 1 0 129.308715 1.867619e-01 3.728449e-01 2.781103e+02 5.551115e-17 -5.551115e-16 6.472758e+03 1.080784e-02 2.305619e-02 2.249146e-03 1.585950e-03 9.703522e-04 -7.693941e-05
125.000000 350.000000 -0.650000 11.490000 -1.000000 1.000000 0.000000 243.575747 1.670473e+00 0 1 0 129.308715 1.981331e-01 3.980710e-01 2.781103e+02 1.006140e-16 -5.551115e-16 6.281028e+03 1.080784e-02 2.305619e-02 2.249146e-03 1.585950e-03 9.703522e-04 -7.693941e-05
125.000000 350.000000 -0.650000 11.860000 -1.000000 1.000000 0.000000 245.947470 1.777778e+00 0 1 0 129.308715 2.098416e-01 4.241228e-01 2.781103e+02 7.979728e-17 -3.330669e-16 6.100156e+03 1.080784e-02 2.305619e-02 2.249146e-03 1.585950e-03 9.703522e-04 -7.693941e-05
125.000000 350.000000 -0.650000 12.230000 -1.000000 1.000000 0.000000 248.320527 1.889299e+00 0 1 0 129.308715 2.218874e-01 4.510003e-01 2.781103e+02 0.000000e+00 -2.220446e-16 5.929262e+03 1.080784e-02 2.305619e-02 2.249146e-03 1.585950e-03 9.703522e-04 -7.693941e-05
125.000000 350.000000 -0.650000 12.600000 -1.000000 1.000000 0.000000 250.530771 2.003914e+00 0 1 0 129.308715 2.342704e-01 4.787034e-01 2.781103e+02 7.979728e-17 1.110223e-16 5.767555e+03 1.080784e-02 2.305619e-02 2.249146e-03 1.585950e-03 9.703522e-04 -7.693941e-05
125.000000 350.000000 -0.650000 12.970000 -1.000000 1.000000 0.000000 252.584961 2.120083e+00 0 1 0 129.308715 2.469908e-01 5.072323e-01 2.781103e+02 6.938894e-17 -2.220446e-16 5.614326e+03 1.080784e-02 2.305619e-02 2.249146e-03 1.585950e-03 9.703522e-04 -7.693941e-05
125.000000 350.000000 -0.650000 13.340000 -1.000000 1.000000 0.000000 254.491088 2.240700e+00 0 1 0 129.308715 2.600485e-01 5.365868e-01 2.781103e+02 -1.769418e-16 -1.110223e-16 5.468935e+03 1.080784e-02 2.305619e-02 2.249146e-03 1.585950e-03 9.703522e-04 -7.693941e-05
125.000000 350.000000 -0.650000 13.710000 -1.000000 1.000000 0.000000 256.257838 2.364896e+00 0 1 0 129.308715 2.734435e-01 5.667669e-01 2.781103e+02 -9.540979e-17 -7.771561e-16 5.330802e+03 1.080784e-02 2.305619e-02 2.249146e-03 1.585950e-03 9.703522e-04 -7.693941e-05
125.000000 350.000000 -0.650000 14.080000 -1.000000 1.000000 0.000000 257.894314 2.491484e+00 0 1 0 129.308715 2.871757e-01 5.977727e-01 2.781103e+02 -4.857226e-17 -7.771561e-16 5.199405e+03 1.080784e-02 2.305619e-02 2.249146e-03 1.585950e-03 9.703522e-04 -7.693941e-05
125.000000 350.000000 -0.650000 14.450000 -1.000000 1.000000 0.000000 259.369907 2.622279e+00 0 1 0 129.308715 3.012453e-01 6.296042e-01 2.781103e+02 2.949030e-17 1.332268e-15 5.074268e+03 1.080784e-02 2.305619e-02 2.249146e-03 1.585950e-03 9.703522e-04 -7.693941e-05
125.000000 350.000000 -0.650000 14.820000 -1.000000 1.000000 0.000000 260.772308 2.756393e+00 0 1 0 129.308715 3.156523e-01 6.622614e-01 2.781103e+02 1.821460e-16 6.661338e-16 4.954959e+03 1.080784e-02 2.305619e-02 2.249146e-03 1.585950e-03 9.703522e-04 -7.693941e-05
125.000000 350.000000 -0.650000 15.190000 -1.000000 1.000000 0.000000 262.070780 2.892655e+00 0 1 0 129.308715 3.303965e-01 6.957442e-01 2.781103e+02 -6.938894e-17 -5.551115e-16 4.841084e+03 1.080784e-02 2.305619e-02 2.249146e-03 1.585950e-03 9.703522e-04 -7.693941e-05
125.000000 350.000000 -0.650000 15.560000 -1.000000 1.000000 0.000000 263.273548 3.034074e+00 0 1 0 129.308715 3.454780e-01 7.300526e-01 2.781103e+02 -2.949030e-17 2.220446e-16 4.732283e+03 1.080784e-02 2.305619e-02 2.249146e-03 1.585950e-03 9.703522e-04 -7.693941e-05
125.000000 350.000000 -0.650000 15.930000 -1.000000 1.000000 0.000000 264.388311 3.180124e+00 0 0 0 129.308715 3.608969e-01 7.651868e-01 2.781103e+02 -1.786765e-16 -6.661338e-16 4.628229e+03 1.080784e-02 2.305619e-02 2.249146e-03 1.585950e-03 9.703522e-04 -7.693941e-05
125.000000 350.000000 -0.650000 16.300000 -1.000000 1.000000 0.000000 265.421903 3.324675e+00 0 0 0 129.308715 3.766531e-01 8.011465e-01 2.781103e+02 3.295975e-17 -1.332268e-15 4.528619e+03 1.080784e-02 2.305619e-02 2.249146e-03 1.585950e-03 9.703522e-04 -7.693941e-05
125.000000 350.000000 -0.650000 16.670000 -1.000000 1.000000 0.000000 266.381053 3.477080e+00 0 0 0 129.308715 3.927467e-01 8.379320e-01 2.781103e+02 -4.163336e-17 -1.554312e-15 4.433178e+03 1.080784e-02 2.305619e-02 2.249146e-03 1.585950e-03 9.703522e-04 -7.693941e-05
125.000000 350.000000 -0.650000 17.040000 -1.000000 1.000000 0.000000 267.271847 3.631206e+00 0 0 0 129.308715 4.091775e-01 8.755430e-01 2.781103e+02 -3.122502e-17 -8.881784e-16 4.341650e+03 1.080784e-02 2.305619e-02 2.249146e-03 1.585950e-03 9.703522e-04 -7.693941e-05
125.000000 350.000000 -0.650000 17.410000 -1.000000 1.000000 0.000000 268.099888 3.789084e+00 0 0 0 129.308715 4.259457e-01 9.139797e-01 2.781103e+02 1.665335e-16 1.443290e-15 4.253801e+03 1.080784e-02 2.305619e-02 2.249146e-03 1.585950e-03 9.703522e-04 -7.693941e-05
125.000000 350.000000 -0.650000 17.780000 -1.000000 1.000000 0.000000 268.870310 3.949855e+00 0 0 0 129.308715 4.430513e-01 9.532421e-01 2.781103e+02 -6.245005e-17 5.551115e-16 4.169417e+03 1.080784e-02 2.305619e-02 2.249146e-03 1.585950e-03 9.703522e-04 -7.693941e-05
125.000000 350.000000 -0.650000 18.150000 -1.000000 1.000000 0.000000 269.587815 4.112450e+00 0 0 0 129.308715 4.604941e-01 9.933301e-01 2.781103e+02 4.336809e-17 1.221245e-15 4.088296e+03 1.080784e-02 2.305619e-02 2.249146e-03 1.585950e-03 9.703522e-04 -7.693941e-05
125.000000 350.000000 -0.650000 18.520000 -1.000000 1.000000 0.000000 270.256703 4.284519e+00 0 0 0 129.308715 4.782743e-01 1.034244e+00 2.781103e+02 3.816392e-17 -1.332268e-15 4.010255e+03 1.080784e-02 2.305619e-02 2.249146e-03 1.585950e-03 9.703522e-04 -7.693941e-05
125.000000 350.000000 -0.650000 18.890000 -1.000000 1.000000 0.000000 270.880715 4.452174e+00 0 0 0 129.308715 4.963918e-01 1.075983e+00 2.781103e+02 1.587272e-16 1.221245e-15 3.935122e+03 1.080784e-02 2.305619e-02 2.249146e-03 1.585950e-03 9.703522e-04 -7.693941e-05
125.000000 350.000000 -0.650000 19.260000 -1.000000 1.000000 0.000000 271.463798 4.628249e+00 0 0 0 129.308715 5.148467e-01 1.118548e+00 2.781103e+02 -6.938894e-18 3.330669e-16 3.862739e+03 1.080784e-02 2.305619e-02 2.249146e-03 1.585950e-03 9.703522e-04 -7.693941e-05
125.000000 350.000000 -0.650000 19.630000 -1.000000 1.000000 0.000000 272.009028 4.807512e+00 0 0 0 129.308715 5.336389e-01 1.161939e+00 2.781103e+02 7.199102e-17 -5.551115e-16 3.792958e+03 1.080784e-02 2.305619e-02 2.249146e-03 1.585950e-03 9.703522e-04 -7.693941e-05
125.000000 350.000000 -0.650000 20.000000 -1.000000 1.000000 0.000000 272.519381 4.982968e+00 0 0 0 129.308715 5.527685e-01 1.206155e+00 2.781103e+02 -5.724587e-17 3.330669e-16 3.725642e+03 1.080784e-02 2.305619e-02 2.249146e-03 1.585950e-03 9.703522e-04 -7.693941e-05
125.000000 350.000000 -0.624000 1.500000 -1.000000 1.000000 0.000000 198.399104 3.469843e+00 1 1 1 142.340688 9.243836e-03 7.904873e-03 2.844037e+02 5.551115e-17 1.387779e-16 8.469052e+03 1.004808e-02 1.938379e-02 1.774481e-03 1.512993e-03 8.886857e-04 -7.354689e-05
125.000000 350.000000 -0.624000 1.870000 -1.000000 1.000000 0.000000 188.885217 2.883736e+00 0 1 1 142.340688 1.173904e-02 1.175742e-02 2.844037e+02 5.551115e-17 1.526557e-16 1.740564e+04 1.004808e-02 1.938379e-02 1.774481e-03 1.512993e-03 8.886857e-04 -7.354689e-05
125.000000 350.000000 -0.624000 2.240000 -1.000000 1.000000 0.000000 186.081396 2.297805e+00 0 1 1 142.340688 1.453863e-02 1.660251e-02 2.844037e+02 5.551115e-17 -2.775558e-16 1.929324e+04 1.004808e-02 1.938379e-02 1.774481e-03 1.512993e-03 8.886857e-04 -7.354689e-05
125.000000 350.000000 -0.624000 2.610000 -1.000000 1.000000 0.000000 186.117976 1.865144e+00 0 1 1 142.340688 1.764408e-02 2.238838e-02 2.844037e+02 -5.551115e-17 3.885781e-16 1.920501e+04 1.004808e-02 1.938379e-02 1.774481e-03 1.512993e-03 8.886857e-04 -7.354689e-05
