 mh mH cba tb Z4 Z5 Z7 chisq tot_hbobs stb uni per mA Gamma_h Gamma_A chisqdiff
125.000000 300.000000 -0.079920 1.500000 -2.000000  -2.000000 0.000000 81.422953 9.091860e-01 1 1 1 459.101393 4.999496e-03 1.225649e+01 5.13878
125.000000 300.000000 -0.079920 1.870000 -2.000000  -2.000000 0.000000 82.310230 5.717029e-01 1 1 1 459.101393 5.203360e-03 9.093427e+00 6.02606
125.000000 300.000000 -0.079920 2.240000 -2.000000  -2.000000 0.000000 83.473156 4.644573e-01 1 1 1 459.101393 5.409308e-03 7.370839e+00 7.18898
125.000000 300.000000 -0.079920 2.610000 -2.000000  -2.000000 0.000000 84.876559 4.512222e-01 1 1 1 459.101393 5.618602e-03 6.334912e+00 8.59239
125.000000 300.000000 -0.079920 2.980000 -2.000000  -2.000000 0.000000 86.375298 4.375900e-01 1 1 1 459.101393 5.831887e-03 5.668068e+00 10.0911
125.000000 300.000000 -0.039960 1.500000 -2.000000  -2.000000 0.000000 78.027834 7.569998e-01 1 1 1 459.489255 4.665911e-03 1.221307e+01 1.74366
125.000000 300.000000 -0.039960 1.870000 -2.000000  -2.000000 0.000000 78.307274 5.486060e-01 1 1 1 459.489255 4.762375e-03 9.045476e+00 2.0231
125.000000 300.000000 -0.039960 2.240000 -2.000000  -2.000000 0.000000 78.674639 5.412204e-01 1 1 1 459.489255 4.858548e-03 7.320415e+00 2.39047
125.000000 300.000000 -0.039960 2.610000 -2.000000  -2.000000 0.000000 79.108927 5.330807e-01 1 1 1 459.489255 4.955091e-03 6.282997e+00 2.82475
125.000000 300.000000 -0.039960 2.980000 -2.000000  -2.000000 0.000000 79.600304 5.245576e-01 1 1 1 459.489255 5.052338e-03 5.615187e+00 3.31613
125.000000 300.000000 -0.039960 3.350000 -2.000000  -2.000000 0.000000 80.142811 5.158563e-01 1 1 1 459.489255 5.150479e-03 5.164127e+00 3.85864
125.000000 300.000000 -0.039960 3.720000 -2.000000  -2.000000 0.000000 80.732013 5.070981e-01 1 1 1 459.489255 5.249626e-03 4.848945e+00 4.44784
125.000000 300.000000 -0.039960 4.090000 -2.000000  -2.000000 0.000000 81.364370 4.983585e-01 1 1 1 459.489255 5.349851e-03 4.623596e+00 5.0802
125.000000 300.000000 -0.039960 4.460000 -2.000000  -2.000000 0.000000 82.036840 4.896862e-01 1 1 1 459.489255 5.451204e-03 4.460300e+00 5.75267
125.000000 300.000000 -0.039960 4.830000 -2.000000  -2.000000 0.000000 82.746690 4.811131e-01 1 1 1 459.489255 5.553718e-03 4.341490e+00 6.46252
125.000000 300.000000 -0.039960 5.200000 -2.000000  -2.000000 0.000000 83.491385 4.726607e-01 1 1 1 459.489255 5.657418e-03 4.255618e+00 7.20721
125.000000 300.000000 0.000000 1.500000 -2.000000  -2.000000 0.000000 76.284173 8.587002e-01 1 1 1 459.618469 4.338612e-03 1.219854e+01 0
125.000000 300.000000 0.000000 1.870000 -2.000000  -2.000000 0.000000 76.284173 7.886814e-01 1 1 1 459.618469 4.338612e-03 9.029433e+00 0
125.000000 300.000000 0.000000 2.240000 -2.000000  -2.000000 0.000000 76.284173 7.886814e-01 1 1 1 459.618469 4.338612e-03 7.303550e+00 0
125.000000 300.000000 0.000000 2.610000 -2.000000  -2.000000 0.000000 76.284173 7.886814e-01 1 1 1 459.618469 4.338612e-03 6.265635e+00 0
125.000000 300.000000 0.000000 2.980000 -2.000000  -2.000000 0.000000 76.284173 7.886814e-01 1 1 1 459.618469 4.338612e-03 5.597503e+00 0
125.000000 300.000000 0.000000 3.350000 -2.000000  -2.000000 0.000000 76.284173 7.886814e-01 1 1 1 459.618469 4.338612e-03 5.146224e+00 0
125.000000 300.000000 0.000000 3.720000 -2.000000  -2.000000 0.000000 76.284173 7.886814e-01 1 1 1 459.618469 4.338612e-03 4.830887e+00 0
125.000000 300.000000 0.000000 4.090000 -2.000000  -2.000000 0.000000 76.284173 7.886814e-01 1 1 1 459.618469 4.338612e-03 4.605425e+00 0
125.000000 300.000000 0.000000 4.460000 -2.000000  -2.000000 0.000000 76.284173 7.886814e-01 1 1 1 459.618469 4.338612e-03 4.442044e+00 0
125.000000 300.000000 0.000000 4.830000 -2.000000  -2.000000 0.000000 76.284173 7.886814e-01 1 1 1 459.618469 4.338612e-03 4.323171e+00 0
125.000000 300.000000 0.000000 5.200000 -2.000000  -2.000000 0.000000 76.284173 7.886814e-01 1 1 1 459.618469 4.338612e-03 4.237251e+00 0
125.000000 300.000000 0.000000 5.570000 -2.000000  -2.000000 0.000000 76.284173 7.886814e-01 1 1 1 459.618469 4.338612e-03 4.176433e+00 0
125.000000 300.000000 0.000000 5.940000 -2.000000  -2.000000 0.000000 76.284173 7.886814e-01 1 1 1 459.618469 4.338612e-03 4.135236e+00 0
125.000000 300.000000 0.000000 6.310000 -2.000000  -2.000000 0.000000 76.284173 7.886814e-01 1 1 1 459.618469 4.338612e-03 4.109734e+00 0
125.000000 300.000000 0.000000 6.680000 -2.000000  -2.000000 0.000000 76.284173 7.886814e-01 1 1 1 459.618469 4.338612e-03 4.097059e+00 0
125.000000 300.000000 0.000000 7.050000 -2.000000  -2.000000 0.000000 76.284173 7.886814e-01 1 1 1 459.618469 4.338612e-03 4.095073e+00 0
125.000000 300.000000 0.000000 7.420000 -2.000000  -2.000000 0.000000 76.284173 7.886814e-01 1 1 1 459.618469 4.338612e-03 4.102160e+00 0
